HDFC TOP 200
Birla SL Frontline Equity (G)
Kotak Select Focus Fund - Regular (G)
SBI Blue Chip Fund (G)
ICICI Prudence Value Discovery Fund
Mirae Asset Emerging Bluechip Fund (G)
Franklin India Smaller Companies Fund
SBI Magnum Midcap
HDFC Midcap Opportunities Fund
BSL Pure Value Fund
DSP Microcap Fund
